Unless stated otherwise the Canmore dataset contains Ordnance Survey derived data which is delivered through Canmore website under the terms of the OPEN GOVERNMENT End User Licence.
http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf
"Canmore-download-Mon, 04 Nov 2019 10:12:48 +0000.csv"


CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL
"18610","NJ71NE 5","Braeside, Camies' Stone","Standing Stone (Prehistoric)","376860","817920","ABERDEENSHIRE","ABERDEENSHIRE","KINTORE","NJ 7686 1792","http://canmore.org.uk/site/18610",
"18694","NJ71SE 16","Blackchambers, 'standing Stone'","Rubbing Stone (Post Medieval)","379540","811640","ABERDEENSHIRE","ABERDEENSHIRE","KINELLAR","NJ 7954 1164","http://canmore.org.uk/site/18694",
"18695","NJ71SE 17","Blackchambers, 'standing Stone'","Rubbing Stone (Post Medieval)","379930","811250","ABERDEENSHIRE","ABERDEENSHIRE","KINELLAR","NJ 7993 1125","http://canmore.org.uk/site/18695",
"18696","NJ71SE 18","Blackchambers, 'standing Stone'","Rubbing Stone (Post Medieval)","379990","811150","ABERDEENSHIRE","ABERDEENSHIRE","KINELLAR","NJ 7999 1115","http://canmore.org.uk/site/18696",
"18697","NJ71SE 19","Strathray, 'standing Stone'","Rubbing Stone (Post Medieval)","379040","812090","ABERDEENSHIRE","ABERDEENSHIRE","KINELLAR","NJ 7904 1209","http://canmore.org.uk/site/18697",
"18698","NJ71SE 2","Back Fornet","Standing Stone (Prehistoric)","378630","810310","ABERDEENSHIRE","ABERDEENSHIRE","SKENE","NJ 7863 1031","http://canmore.org.uk/site/18698",
"18699","NJ71SE 20","Blackchambers","Standing Stone (Prehistoric)","379900","811500","ABERDEENSHIRE","ABERDEENSHIRE","KINELLAR","NJ 799 115","http://canmore.org.uk/site/18699",
"18711","NJ71SE 9","Burnside Cottages","Standing Stone (Prehistoric)","377300","812690","ABERDEENSHIRE","ABERDEENSHIRE","KINTORE","NJ 7730 1269","http://canmore.org.uk/site/18711",
"18712","NJ71SW 1","Littlewood, The Lang Stane O' Craigearn","Standing Stone (Prehistoric)","372380","814930","ABERDEENSHIRE","ABERDEENSHIRE","KEMNAY","NJ 7238 1493","http://canmore.org.uk/site/18712",
"18718","NJ71SW 2","Woodend Of Cluny","Standing Stone (Prehistoric)","371058","813440","ABERDEENSHIRE","ABERDEENSHIRE","CLUNY","NJ 71058 13440","http://canmore.org.uk/site/18718",
"18720","NJ71SW 4","Castle Fraser","Standing Stone(S) (Prehistoric)","371740","812500","ABERDEENSHIRE","ABERDEENSHIRE","CLUNY","NJ 7174 1250","http://canmore.org.uk/site/18720",
"18724","NJ71SW 8","Braeneil","Rubbing Stone (Post Medieval)","373060","812350","ABERDEENSHIRE","ABERDEENSHIRE","CLUNY","NJ 7306 1235","http://canmore.org.uk/site/18724",
"18888","NJ72SE 18","Conglas, 'standing Stone'","Rubbing Stone (Post Medieval)","375300","822900","ABERDEENSHIRE","ABERDEENSHIRE","INVERURIE","NJ 753 229","http://canmore.org.uk/site/18888",
"18906","NJ72SE 34","Ardtannes Cottages","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric), Recumbent Stone Circle (Neol/bronze Age), Axehead (Stone)","375780","820410","ABERDEENSHIRE","ABERDEENSHIRE","INVERURIE","NJ 7578 2041","http://canmore.org.uk/site/18906",
"19000","NJ72SW 3","Crowmallie","Stone Circle (Neol/bronze Age)","370340","824850","ABERDEENSHIRE","ABERDEENSHIRE","CHAPEL OF GARIOCH","NJ 7034 2485","http://canmore.org.uk/site/19000",
"19109","NJ73NW 5","The Gammons","Stone Circle (Neol/bronze Age)","372650","837340","ABERDEENSHIRE","ABERDEENSHIRE","FYVIE","NJ 7265 3734","http://canmore.org.uk/site/19109",
"19129","NJ73SW 13","The Tow Stone","Standing Stone (Prehistoric)","370100","833520","ABERDEENSHIRE","ABERDEENSHIRE","FYVIE","NJ 7010 3352","http://canmore.org.uk/site/19129",
"19135","NJ73SW 7","Cushieston","Standing Stone (Prehistoric)","371000","830200","ABERDEENSHIRE","ABERDEENSHIRE","RAYNE","NJ 710 302","http://canmore.org.uk/site/19135",
"19387","NJ80SE 25","Cults","Stone Circle (Neol/bronze Age)","389470","803510","ABERDEEN, CITY OF","ABERDEENSHIRE","PETERCULTER","NJ 8947 0351","http://canmore.org.uk/site/19387",
"19403","NJ80SE 4","Blacktop","Cup Marked Stone(S) (Prehistoric)","385900","804450","ABERDEEN, CITY OF","ABERDEENSHIRE","PETERCULTER","NJ 8590 0445","http://canmore.org.uk/site/19403",
"19454","NJ81NE 2","Monykebbuck","Cairn (Period Unassigned)(Possible), Standing Stone (Prehistoric)","387150","818300","ABERDEENSHIRE","ABERDEENSHIRE","NEW MACHAR","NJ 8715 1830","http://canmore.org.uk/site/19454",
"19471","NJ81NW 11","Cothill","Stone Circle(S) (Neol/bronze Age)","384860","817030","ABERDEENSHIRE","ABERDEENSHIRE","FINTRAY","NJ 8486 1703","http://canmore.org.uk/site/19471",
"19545","NJ81SW 1","Kinellar Churchyard","Stone Circle (Neol/bronze Age)(Possible)","382160","814400","ABERDEENSHIRE","ABERDEENSHIRE","KINELLAR","NJ 8216 1440","http://canmore.org.uk/site/19545",
"19550","NJ81SW 14","Scotsmill","Standing Stone (Prehistoric)","382390","813690","ABERDEENSHIRE","ABERDEENSHIRE","KINELLAR","NJ 8239 1369","http://canmore.org.uk/site/19550",
"19567","NJ81SW 3","Cairntradlin","Standing Stone (Prehistoric)","381680","813850","ABERDEENSHIRE","ABERDEENSHIRE","KINELLAR","NJ 8168 1385","http://canmore.org.uk/site/19567",
"19578","NJ81SW 4","Ferneybrae","Standing Stone (Prehistoric)","380210","814590","ABERDEENSHIRE","ABERDEENSHIRE","KINTORE","NJ 8021 1459","http://canmore.org.uk/site/19578",
"19595","NJ81SW 6","Kinellar","Pictish Symbol Stone (Pictish)","382140","814450","ABERDEENSHIRE","ABERDEENSHIRE","KINELLAR","NJ 8214 1445","http://canmore.org.uk/site/19595",
"19674","NJ82NW 45","The Bell Rock","Natural Feature (Period Unknown)","380400","825150","ABERDEENSHIRE","ABERDEENSHIRE","BOURTIE","NJ 8040 2515","http://canmore.org.uk/site/19674",
"19721","NJ82SW 31","The Piper's Stone","Natural Feature (Period Unknown)","380554","824947","ABERDEENSHIRE","ABERDEENSHIRE","BOURTIE","NJ 80554 24947","http://canmore.org.uk/site/19721",
"19811","NJ83SE 14","South Ythsie","Standing Stone (Prehistoric)","388540","830450","ABERDEENSHIRE","ABERDEENSHIRE","TARVES","NJ 8854 3045","http://canmore.org.uk/site/19811",
"20633","NJ94NW 4","Old Maud","Cist (Period Unassigned)","391600","846750","ABERDEENSHIRE","ABERDEENSHIRE","NEW DEER","NJ 9160 4675","http://canmore.org.uk/site/20633",
"20649","NJ94SE 13","Woodfield","Stone Circle (Neol/bronze Age)(Possible)","397510","844270","ABERDEENSHIRE","ABERDEENSHIRE","OLD DEER","NJ 9751 4427","http://canmore.org.uk/site/20649",
"20652","NJ94SE 16","Skelmuir Hill","Standing Stone(S) (Prehistoric)","398380","841590","ABERDEENSHIRE","ABERDEENSHIRE","OLD DEER","NJ 9838 4159","http://canmore.org.uk/site/20652",
"20653","NJ94SE 17","Skelmuir Hill","Standing Stone (Prehistoric)","398220","841700","ABERDEENSHIRE","ABERDEENSHIRE","OLD DEER","NJ 9822 4170","http://canmore.org.uk/site/20653",
"20660","NJ94SE 23","Skelmuir Hill","Stone Circle (Neol/bronze Age)(Possible)","398000","841000","ABERDEENSHIRE","ABERDEENSHIRE","OLD DEER","NJ 98 41","http://canmore.org.uk/site/20660",
"20850","NK02NW 2","Sands Of Forvie","Hut Circle(S) (Prehistoric), Midden(S) (Period Unassigned), Bead(S) (Jet), Bracelet(S) (Jet)","401037","826352","ABERDEENSHIRE","ABERDEENSHIRE","SLAINS","NK 01037 26352","http://canmore.org.uk/site/20850",
"20871","NK03NE 15","Greenbrae","Cairn (Period Unassigned), Cist (Period Unassigned), Bead(S) (Amber), Necklace (Jet), Polished Axehead (Flint)","405700","835880","ABERDEENSHIRE","ABERDEENSHIRE","CRUDEN","NK 0570 3588","http://canmore.org.uk/site/20871",
"20882","NK03NE 25","Hatton","Cist(S) (Period Unassigned), Arm Guard (Stone), Arrowhead(S) (Flint), Axehead (Stone), Beaker(S), Knife (Flint)","405420","837020","ABERDEENSHIRE","ABERDEENSHIRE","CRUDEN","NK 0542 3702","http://canmore.org.uk/site/20882",
"21041","NK04SE 2","Northfield, 'cromlech'","Natural Feature (Period Unknown)","407220","841520","ABERDEENSHIRE","ABERDEENSHIRE","CRUDEN","NK 0722 4152","http://canmore.org.uk/site/21041",
"21054","NK04SE 3","Cairn Catto","Cist(S) (Period Unassigned), Long Cairn (Neolithic), Axehead(S) (Stone)","407420","842130","ABERDEENSHIRE","ABERDEENSHIRE","LONGSIDE","NK 0742 4213","http://canmore.org.uk/site/21054",
"21429","NL94NE 20","Tiree, Hough","Stone Circle (Neol/bronze Age)","95880","745180","ARGYLL AND BUTE","ARGYLL","TIREE","NL 9588 4518","http://canmore.org.uk/site/21429",
"21432","NL94NE 23","Tiree, Hough","Stone Circle (Neol/bronze Age)","95800","745050","ARGYLL AND BUTE","ARGYLL","TIREE","NL 9580 4505","http://canmore.org.uk/site/21432",
"22086","NM45SE 1","Baliscate, Mull","Standing Stone(S) (Prehistoric)","149960","754130","ARGYLL AND BUTE","ARGYLL","KILNINIAN AND KILMORE","NM 4996 5413","http://canmore.org.uk/site/22086",
"22114","NM45SW 4","Mull, Cnoc Fada, Dervaig","Standing Stone(S) (Prehistoric)","143900","752030","ARGYLL AND BUTE","ARGYLL","KILNINIAN AND KILMORE","NM 4390 5203","http://canmore.org.uk/site/22114",
"22115","NM45SW 5","Mull, Dervaig, Maol Mor","Standing Stone(S) (Prehistoric)","143604","753056","ARGYLL AND BUTE","ARGYLL","KILNINIAN AND KILMORE","NM 43604 53056","http://canmore.org.uk/site/22115",
"22266","NM54NW 4","Tenga, Mull","Standing Stone(S) (Prehistoric), Stone Circle (Neol/bronze Age)(Possible)","150380","746320","ARGYLL AND BUTE","ARGYLL","KILNINIAN AND KILMORE","NM 5038 4632","http://canmore.org.uk/site/22266",
"22385","NM62NW 1","Lochbuie, Mull","Standing Stone (Prehistoric), Stone Circle (Neol/bronze Age)","161780","725117","ARGYLL AND BUTE","ARGYLL","TOROSAY","NM 61780 25117","http://canmore.org.uk/site/22385",
"22648","NM72NW 4","Port Donain, Mull","Cairn (Period Unassigned), Standing Stone (Prehistoric)(Possible)","173670","729320","ARGYLL AND BUTE","ARGYLL","TOROSAY","NM 7367 2932","http://canmore.org.uk/site/22648",
"23913","NN39SE 2","Parallel Roads, Glen Roy","Collar(S) (Stone)","235000","792000","HIGHLAND","INVERNESS-SHIRE","KILMONIVAIG","NN 35 92","http://canmore.org.uk/site/23913",
"24790","NN71NE 1","Dunruchan","Cairn (Period Unassigned), Standing Stone(S) (Prehistoric)","279300","717500","PERTH AND KINROSS","PERTHSHIRE","MUTHILL","NN 793 175","http://canmore.org.uk/site/24790",
"24795","NN71NE 2","Auchingarrich Farm","Cup Marked Stone (Prehistoric), Standing Stone (Prehistoric)","278730","719580","PERTH AND KINROSS","PERTHSHIRE","MUTHILL","NN 7873 1958","http://canmore.org.uk/site/24795",
"24856","NN72SE 5","West Cowden Farm, 'stone Circle'","Cup Marked Stone (Prehistoric), Stone Setting (Neol/bronze Age)","277440","720640","PERTH AND KINROSS","PERTHSHIRE","COMRIE (PERTH AND KINROSS)","NN 7744 2064","http://canmore.org.uk/site/24856",
"24857","NN72SE 6","'dunmoid', Dalginross","Cist (Period Unassigned), Four Poster Stone Circle (Bronze Age), Cinerary Urn","278025","721264","PERTH AND KINROSS","PERTHSHIRE","COMRIE (PERTH AND KINROSS)","NN 78025 21264","http://canmore.org.uk/site/24857",
"24858","NN72SE 7","Wester Tullybannocher","Cup Marked Stone (Prehistoric), Stone Circle (Neol/bronze Age)","275480","722470","PERTH AND KINROSS","PERTHSHIRE","COMRIE (PERTH AND KINROSS)","NN 7548 2247","http://canmore.org.uk/site/24858",
"24859","NN72SE 8","Craggish","Standing Stone(S) (Prehistoric)","276400","720800","PERTH AND KINROSS","PERTHSHIRE","COMRIE (PERTH AND KINROSS)","NN 764 208","http://canmore.org.uk/site/24859",
"24860","NN72SE 9","Tom Chasaig","Mound (Period Unassigned), Stone (Period Unassigned)","277020","722040","PERTH AND KINROSS","PERTHSHIRE","COMRIE (PERTH AND KINROSS)","NN 7702 2204","http://canmore.org.uk/site/24860",
"24861","NN72SW 1","Druim Na Cille","Cairn (Period Unassigned), Cup Marked Stone (Prehistoric)","273750","724290","PERTH AND KINROSS","PERTHSHIRE","COMRIE (PERTH AND KINROSS)","NN 7375 2429","http://canmore.org.uk/site/24861",
"24957","NN74NE 70","Comrie Bridge","Stone(S) (Period Unassigned)","278600","748600","PERTH AND KINROSS","PERTHSHIRE","DULL","NN 786 486","http://canmore.org.uk/site/24957",
"24965","NN74NW 11","Clach Mo-luchaig, Fortingall","Stone (Period Unassigned)","273820","747050","PERTH AND KINROSS","PERTHSHIRE","FORTINGALL","NN 7382 4705","http://canmore.org.uk/site/24965",
"24973","NN74NW 19","Cromrar","Cup Marked Stone (Prehistoric)","272470","745310","PERTH AND KINROSS","PERTHSHIRE","FORTINGALL","NN 7247 4531","http://canmore.org.uk/site/24973",
"25000","NN74NW 6","Bridge Of Lyon","Standing Stone (Prehistoric)(Possible), Standing Stone (Prehistoric)","273140","746410","PERTH AND KINROSS","PERTHSHIRE","FORTINGALL","NN 7314 4641","http://canmore.org.uk/site/25000",
"25002","NN74NW 8","Lyon Bridge","Cairn (Period Unassigned), Cup Marked Stone (Prehistoric)","273170","746570","PERTH AND KINROSS","PERTHSHIRE","FORTINGALL","NN 7317 4657","http://canmore.org.uk/site/25002",
"25003","NN74NW 9","Fortingall Churchyard","Cup Marked Stone (Prehistoric)","274170","747030","PERTH AND KINROSS","PERTHSHIRE","FORTINGALL","NN 7417 4703","http://canmore.org.uk/site/25003",
"25004","NN74SE 1","Acharn Falls","Stone Circle (Neol/bronze Age)","276780","742490","PERTH AND KINROSS","PERTHSHIRE","KENMORE (PERTH AND KINROSS)","NN 7678 4249","http://canmore.org.uk/site/25004",
"25036","NN74SW 4","Fearnan, Clach Na Tuirc","Cup Marked Stone (Prehistoric)","272180","744970","PERTH AND KINROSS","PERTHSHIRE","KENMORE (PERTH AND KINROSS)","NN 7218 4497","http://canmore.org.uk/site/25036",
"25285","NN81NE 1","Concraig","Standing Stone (Prehistoric)","285484","719503","PERTH AND KINROSS","PERTHSHIRE","MUTHILL","NN 85484 19503","http://canmore.org.uk/site/25285",
"25355","NN81NW 3","Dalchirla","Standing Stone(S) (Prehistoric)","282440","715880","PERTH AND KINROSS","PERTHSHIRE","MUTHILL","NN 8244 1588","http://canmore.org.uk/site/25355",
"25356","NN81NW 4","Dalchirla","Standing Stone (Prehistoric)","282260","716110","PERTH AND KINROSS","PERTHSHIRE","MUTHILL","NN 8226 1611","http://canmore.org.uk/site/25356",
"25405","NN82NE 1","Stonefield","Stone Circle (Neol/bronze Age)","285250","725050","PERTH AND KINROSS","PERTHSHIRE","CRIEFF","NN 8525 2505","http://canmore.org.uk/site/25405",
"25422","NN82NE 4","Keppoch","Stone Circle (Neol/bronze Age)(Possible)","287980","725170","PERTH AND KINROSS","PERTHSHIRE","CRIEFF","NN 8798 2517","http://canmore.org.uk/site/25422",
"25427","NN82NE 9","Connachan Lodge","Cup Marked Stone (Prehistoric)","289980","726990","PERTH AND KINROSS","PERTHSHIRE","FOWLIS WESTER","NN 8998 2699","http://canmore.org.uk/site/25427",
"25433","NN82SE 13","Crieff, Duchlage","Standing Stone (Prehistoric)","286550","720790","PERTH AND KINROSS","PERTHSHIRE","CRIEFF","NN 8655 2079","http://canmore.org.uk/site/25433",
"25443","NN82SE 22","Dargill","Standing Stone (Prehistoric)","285920","720040","PERTH AND KINROSS","PERTHSHIRE","MUTHILL","NN 8592 2004","http://canmore.org.uk/site/25443",
"25448","NN82SE 27","Monzie, Witches' Stone","Standing Stone (Prehistoric)","287980","724310","PERTH AND KINROSS","PERTHSHIRE","CRIEFF","NN 8798 2431","http://canmore.org.uk/site/25448",
"25498","NN82SE 72","Cradle Stone","Stone (Period Unassigned)","286540","722720","PERTH AND KINROSS","PERTHSHIRE","CRIEFF","NN 8654 2272","http://canmore.org.uk/site/25498",
"25535","NN82SW 7","Lawers","Standing Stone (Prehistoric)","280100","722670","PERTH AND KINROSS","PERTHSHIRE","MONZIEVAIRD AND STROWAN","NN 8010 2267","http://canmore.org.uk/site/25535",
"25564","NN83SW 2","Clach Na Tiompan","Four Poster Stone Circle (Bronze Age)","283008","732825","PERTH AND KINROSS","PERTHSHIRE","MONZIEVAIRD AND STROWAN","NN 83008 32825","http://canmore.org.uk/site/25564",
"25629","NN84NW 2","Carse Farm","Stone Circle (Neol/bronze Age)","280280","748460","PERTH AND KINROSS","PERTHSHIRE","DULL","NN 8028 4846","http://canmore.org.uk/site/25629",
"25662","NN84NW 5","Balhomais","Barrow (Prehistoric), Stone Circle (Neol/bronze Age)","282380","749260","PERTH AND KINROSS","PERTHSHIRE","DULL","NN 8238 4926","http://canmore.org.uk/site/25662",
"25699","NN85SE 20","Lundin","Standing Stone (Prehistoric)","287830","750590","PERTH AND KINROSS","PERTHSHIRE","LOGIERAIT","NN 8783 5059","http://canmore.org.uk/site/25699",
"25701","NN85SE 22","Carn Tulach","Cist(S) (Period Unassigned)(Possible), Standing Stone (Prehistoric), Hammer (Stone)","287390","750450","PERTH AND KINROSS","PERTHSHIRE","LOGIERAIT","NN 8739 5045","http://canmore.org.uk/site/25701",
"25702","NN85SE 23","Jury Stone","Stone (Period Unassigned)","288630","750580","PERTH AND KINROSS","PERTHSHIRE","LOGIERAIT","NN 8863 5058","http://canmore.org.uk/site/25702",
"25709","NN85SE 3","Glassie","Cup And Ring Marked Stone (Prehistoric)","285070","751250","PERTH AND KINROSS","PERTHSHIRE","WEEM","NN 8507 5125","http://canmore.org.uk/site/25709",
"25726","NN85SE 8","Lundin","Cup Marked Stone (Prehistoric), Standing Stone(S) (Prehistoric)","288020","750620","PERTH AND KINROSS","PERTHSHIRE","LOGIERAIT","NN 8802 5062","http://canmore.org.uk/site/25726",
"25764","NN85SW 5","Boltachan Burn","Cup Marked Stone (Prehistoric), Standing Stone (Prehistoric)","284710","751600","PERTH AND KINROSS","PERTHSHIRE","WEEM","NN 8471 5160","http://canmore.org.uk/site/25764",
"25801","NN86NE 4","Clach Na H' Iobairt","Standing Stone (Prehistoric)","287620","765260","PERTH AND KINROSS","PERTHSHIRE","BLAIR ATHOLL","NN 8762 6526","http://canmore.org.uk/site/25801",
"25877","NN86SW 3","Na Clachan Aoraidh","Four Poster Stone Circle (Bronze Age)","283860","762000","PERTH AND KINROSS","PERTHSHIRE","BLAIR ATHOLL","NN 8386 6200","http://canmore.org.uk/site/25877",
"25998","NN91NW 10","Calfward, Belted Stane","Stone (Period Unassigned)","293180","715480","PERTH AND KINROSS","PERTHSHIRE","TRINITY GASK","NN 9318 1548","http://canmore.org.uk/site/25998",
"26191","NN92SW 3","The Thorn","Cup Marked Stone (Prehistoric)","292040","723970","PERTH AND KINROSS","PERTHSHIRE","FOWLIS WESTER","NN 9204 2397","http://canmore.org.uk/site/26191",
"26192","NN92SW 4","Crofthead Farm","Standing Stone(S) (Prehistoric)","292030","724040","PERTH AND KINROSS","PERTHSHIRE","FOWLIS WESTER","NN 9203 2404","http://canmore.org.uk/site/26192",
"26200","NN93NE 3","Sack Stone","Standing Stone (Prehistoric)","299253","735975","PERTH AND KINROSS","PERTHSHIRE","AUCHTERGAVEN","NN 99253 35975","http://canmore.org.uk/site/26200",
"26212","NN93SE 1","Car Stone","Standing Stone (Prehistoric)","297330","730040","PERTH AND KINROSS","PERTHSHIRE","LOGIEALMOND","NN 9733 3004","http://canmore.org.uk/site/26212",
"26312","NN95NW 9","Dane's Stone","Standing Stone (Prehistoric)","294255","759414","PERTH AND KINROSS","PERTHSHIRE","MOULIN","NN 94255 59414","http://canmore.org.uk/site/26312",
"26313","NN95SE 1","Tynreich","Stone Circle (Neol/bronze Age)","297620","753450","PERTH AND KINROSS","PERTHSHIRE","LOGIERAIT","NN 9762 5345","http://canmore.org.uk/site/26313",
"26319","NN95SE 15","Kilmorich","Standing Stone (Prehistoric)","298900","750700","PERTH AND KINROSS","PERTHSHIRE","DUNKELD AND DOWALLY","NN 989 507","http://canmore.org.uk/site/26319",
"26346","NN95SE 5","Clach Glas","Cup Marked Stone (Prehistoric), Standing Stone (Prehistoric)","298530","751120","PERTH AND KINROSS","PERTHSHIRE","LOGIERAIT","NN 9853 5112","http://canmore.org.uk/site/26346",
"26373","NN95SW 3","Clach Na Croiche, Balnaguard","Cist (Period Unassigned), Cremation (Period Unassigned), Cup Marked Stone (Prehistoric), Standing Stone (Prehistoric)","294620","752110","PERTH AND KINROSS","PERTHSHIRE","LITTLE DUNKELD","NN 9462 5211","http://canmore.org.uk/site/26373",
"26385","NN95SW 7","Haugh Of Grandtully Farm","Standing Stone (Prehistoric)","292030","753190","PERTH AND KINROSS","PERTHSHIRE","LITTLE DUNKELD","NN 9203 5319","http://canmore.org.uk/site/26385",
"26444","NN96SW 2","Killiecrankie, Claverhouse's Stone","Standing Stone (Prehistoric)","290820","763190","PERTH AND KINROSS","PERTHSHIRE","MOULIN","NN 9082 6319","http://canmore.org.uk/site/26444",
"26718","NO02NE 10","King's Stone","Standing Stone (Prehistoric)","309710","728280","PERTH AND KINROSS","PERTHSHIRE","REDGORTON","NO 0971 2828","http://canmore.org.uk/site/26718",
"26805","NO02NE 9","Denmarkfield Farm","Standing Stone (Prehistoric)","309400","728440","PERTH AND KINROSS","PERTHSHIRE","REDGORTON","NO 0940 2844","http://canmore.org.uk/site/26805",
"26950","NO02SW 4","Bachilton","Mound (Period Unassigned), Stone Circle (Neol/bronze Age)","300150","724110","PERTH AND KINROSS","PERTHSHIRE","METHVEN","NO 0015 2411","http://canmore.org.uk/site/26950",
"26981","NO03NE 5","Murthly Castle","Standing Stone (Prehistoric)","307050","739560","PERTH AND KINROSS","PERTHSHIRE","LITTLE DUNKELD","NO 0705 3956","http://canmore.org.uk/site/26981",
"26994","NO03NW 2","Staredam","Cross Incised Stone (Early Medieval), Standing Stone(S) (Prehistoric)","304990","738280","PERTH AND KINROSS","PERTHSHIRE","AUCHTERGAVEN","NO 0499 3828","http://canmore.org.uk/site/26994",
"26997","NO03NW 5","Witch's Stone, Meikle Obney","Standing Stone (Prehistoric)","304240","737520","PERTH AND KINROSS","PERTHSHIRE","AUCHTERGAVEN","NO 0424 3752","http://canmore.org.uk/site/26997",
"27002","NO03SE 1","Over Benchil, Standing Stone With Sundial","Standing Stone (Prehistoric), Sundial (Period Unassigned)","309520","732249","PERTH AND KINROSS","PERTHSHIRE","REDGORTON","NO 09520 32249","http://canmore.org.uk/site/27002",
"27014","NO03SE 2","Loak","Standing Stone (Prehistoric)","307570","733050","PERTH AND KINROSS","PERTHSHIRE","AUCHTERGAVEN","NO 0757 3305","http://canmore.org.uk/site/27014",
"27036","NO03SE 5","Cowford","Standing Stone (Prehistoric)","305630","732050","PERTH AND KINROSS","PERTHSHIRE","AUCHTERGAVEN","NO 0563 3205","http://canmore.org.uk/site/27036",
"27038","NO03SE 7","Pitsundry","Cup Marked Stone (Prehistoric), Stone Circle (Neol/bronze Age)(Possible)","305590","734450","PERTH AND KINROSS","PERTHSHIRE","AUCHTERGAVEN","NO 0559 3445","http://canmore.org.uk/site/27038",
"27039","NO03SE 8","Gellybank","Standing Stone(S) (Prehistoric)","308210","731340","PERTH AND KINROSS","PERTHSHIRE","MONEYDIE","NO 0821 3134","http://canmore.org.uk/site/27039",
"27040","NO03SE 9","Pitlandie","Standing Stone (Prehistoric)","308850","730320","PERTH AND KINROSS","PERTHSHIRE","MONEYDIE","NO 0885 3032","http://canmore.org.uk/site/27040",
"27109","NO04NW 2","Dowally","Standing Stone(S) (Neol/bronze Age)","300030","747990","PERTH AND KINROSS","PERTHSHIRE","DUNKELD AND DOWALLY","NO 0003 4799","http://canmore.org.uk/site/27109",
"27127","NO04SE 2","East Cult","Cup Marked Stone (Prehistoric), Standing Stone(S) (Prehistoric)","307250","742160","PERTH AND KINROSS","PERTHSHIRE","CAPUTH","NO 0725 4216","http://canmore.org.uk/site/27127",
"27205","NO04SW 6","Dunkeld Park","Standing Stone (Prehistoric)","301420","742990","PERTH AND KINROSS","PERTHSHIRE","DUNKELD AND DOWALLY","NO 0142 4299","http://canmore.org.uk/site/27205",
"27206","NO04SW 7","Newtyle","Standing Stone(S) (Prehistoric)","304490","741070","PERTH AND KINROSS","PERTHSHIRE","DUNKELD AND DOWALLY","NO 0449 4107","http://canmore.org.uk/site/27206",
"27267","NO05NE 2","Balnabroich","Standing Stone(S) (Prehistoric)","309180","756580","PERTH AND KINROSS","PERTHSHIRE","KIRKMICHAEL (PERTH AND KINROSS)","NO 0918 5658","http://canmore.org.uk/site/27267",
"27581","NO06SE 2","Ardle's Grave","Mound (Period Unassigned), Standing Stone (Prehistoric)","306290","762790","PERTH AND KINROSS","PERTHSHIRE","MOULIN","NO 0629 6279","http://canmore.org.uk/site/27581",
"27592","NO06SE 3","Woodend","Standing Stone (Prehistoric)","306000","762990","PERTH AND KINROSS","PERTHSHIRE","MOULIN","NO 0600 6299","http://canmore.org.uk/site/27592",
"27603","NO06SE 4","Croft House","Standing Stone (Prehistoric)","305650","763320","PERTH AND KINROSS","PERTHSHIRE","MOULIN","NO 0565 6332","http://canmore.org.uk/site/27603",
"27669","NO06SW 1","Dalnavaid","Cup Marked Stone (Prehistoric)","300890","763510","PERTH AND KINROSS","PERTHSHIRE","MOULIN","NO 0089 6351","http://canmore.org.uk/site/27669",
"27677","NO06SW 2","Cotterton","Standing Stone (Prehistoric)","303800","763690","PERTH AND KINROSS","PERTHSHIRE","MOULIN","NO 0380 6369","http://canmore.org.uk/site/27677",
"27679","NO06SW 4","Clach Mhor","Standing Stone (Prehistoric)","304510","764310","PERTH AND KINROSS","PERTHSHIRE","MOULIN","NO 0451 6431","http://canmore.org.uk/site/27679",
"28057","NO11NW 6","Moncrieffe House","Cup And Ring Marked Stone (Prehistoric), Cup Marked Stone (Prehistoric)","313890","719290","PERTH AND KINROSS","PERTHSHIRE","DUNBARNEY","NO 1389 1929","http://canmore.org.uk/site/28057",
"28101","NO11SW 62","Arngask Old Churchyard","Cup Marked Stone (Prehistoric)","313970","710860","PERTH AND KINROSS","PERTHSHIRE","ARNGASK","NO 1397 1086","http://canmore.org.uk/site/28101",
"28134","NO12NE 7","Shianbank","Stone Circle(S) (Neol/bronze Age)","315566","727305","PERTH AND KINROSS","PERTHSHIRE","SCONE","NO 15566 27305","http://canmore.org.uk/site/28134",
"28232","NO12SE 42","Commonbank","Cup Marked Stone (Prehistoric), Stone Setting (Neol/bronze Age)","317700","724700","PERTH AND KINROSS","PERTHSHIRE","KILSPINDIE","NO 177 247","http://canmore.org.uk/site/28232",
"28320","NO12SW 16","Craigclowan","Standing Stone (Prehistoric)","312020","720830","PERTH AND KINROSS","PERTHSHIRE","PERTH","NO 1202 2083","http://canmore.org.uk/site/28320",
"28391","NO12SW 27","Hilton Of Moncrieffe","Standing Stone (Prehistoric)","311060","720670","PERTH AND KINROSS","PERTHSHIRE","FORGANDENNY","NO 1106 2067","http://canmore.org.uk/site/28391",
